205.210.31.102 - - [31/Jan/2025:00:03:15 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "CONNECT www.google.com:80 HTTP/1.0" 501 753
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /pools HTTP/1.1" 404 686
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /base.html HTTP/1.1" 404 690
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /start.jsp HTTP/1.1" 404 679
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 403 877
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "HEAD / HTTP/1.1" 200 -
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /default.asp HTTP/1.1" 404 692
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "HEAD / HTTP/1.0" 200 -
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /index.jsa HTTP/1.1" 404 690
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "CONNECT www.wikipedia.org:80 HTTP/1.0" 501 753
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /start.php HTTP/1.1" 404 690
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /indice.cfm HTTP/1.1" 404 691
172.105.246.139 - - [31/Jan/2025:04:35:30 +0000] "-" 400 1894
172.105.246.139 - - [31/Jan/2025:04:35:30 +0000] "GET / HTTP/1.1" 200 11230
172.105.246.139 - - [31/Jan/2025:04:35:30 +0000] "CONNECT www.computerhistory.org:80 HTTP/1.0" 501 753
172.105.246.139 - - [31/Jan/2025:04:35:31 +0000] "-" 400 1894
172.105.246.139 - - [31/Jan/2025:04:35:39 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:39 +0000] "GET / HTTP/1.1" 200 11230
57.129.64.219 - - [31/Jan/2025:04:42:18 +0000] "GET / HTTP/1.1" 200 11230
204.188.228.101 - - [31/Jan/2025:05:00:40 +0000] "-" 400 1894
204.188.228.101 - - [31/Jan/2025:05:00:40 +0000] "-" 400 1894
204.188.228.101 - - [31/Jan/2025:05:00:40 +0000] "GET / HTTP/1.1" 200 11230
204.188.228.101 - - [31/Jan/2025:05:00:40 +0000] "GET /download/powershell/ HTTP/1.1" 404 709
204.188.228.101 - - [31/Jan/2025:05:00:40 +0000] "GET /get.php HTTP/1.1" 404 688
133.149.205.138 - - [31/Jan/2025:05:01:58 +0000] "GET / HTTP/1.0" 200 11210
146.19.24.168 - - [31/Jan/2025:05:04:29 +0000] "GET / HTTP/1.1" 200 11230
35.240.83.86 - - [31/Jan/2025:05:49:30 +0000] "GET / HTTP/1.1" 200 11230
92.255.57.58 - - [31/Jan/2025:06:06:16 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 11230
87.121.84.7 - - [31/Jan/2025:06:13:09 +0000] "GET / HTTP/1.1" 200 11230
216.9.226.148 - - [31/Jan/2025:06:24:37 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
92.255.57.58 - - [31/Jan/2025:06:27:36 +0000] "GET /actuator/gateway/routes HTTP/1.1" 404 712
59.183.124.119 - - [31/Jan/2025:06:31:07 +0000] "GET /boaform/admin/formLogin?username=adminisp&psd=adminisp HTTP/1.0" 404 712
45.148.10.242 - - [31/Jan/2025:06:43:52 +0000] "GET / HTTP/1.1" 200 11230
146.19.24.168 - - [31/Jan/2025:06:45:43 +0000] "GET / HTTP/1.1" 200 11230
184.105.247.224 - - [31/Jan/2025:07:22:58 +0000] "-" 400 1894
52.183.224.78 - - [31/Jan/2025:07:23:01 +0000] "GET /manager/html HTTP/1.1" 403 3446
146.19.24.168 - - [31/Jan/2025:08:16:07 +0000] "GET / HTTP/1.1" 200 11230
185.233.117.25 - - [31/Jan/2025:08:20:52 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.148 - - [31/Jan/2025:08:28:13 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
152.42.231.197 - - [31/Jan/2025:08:50:26 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
209.97.141.107 - - [31/Jan/2025:09:32:06 +0000] "-" 400 1894
209.97.141.107 - - [31/Jan/2025:09:32:06 +0000] "-" 400 1894
209.97.141.107 - - [31/Jan/2025:09:32:06 +0000] "GET / HTTP/1.1" 200 11230
209.97.141.107 - - [31/Jan/2025:09:32:06 +0000] "GET /download/powershell/ HTTP/1.1" 404 709
209.97.141.107 - - [31/Jan/2025:09:32:06 +0000] "GET /get.php HTTP/1.1" 404 688
45.148.10.242 - - [31/Jan/2025:09:42:40 +0000] "GET / HTTP/1.1" 200 11230
64.62.197.194 - - [31/Jan/2025:09:53:30 +0000] "GET / HTTP/1.1" 200 11230
64.62.197.195 - - [31/Jan/2025:09:53:53 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
64.62.197.193 - - [31/Jan/2025:09:54:04 +0000] "GET /?format=json HTTP/1.1" 200 11230
64.62.197.185 - - [31/Jan/2025:09:54:08 +0000] "CONNECT www.shadowserver.org:443 HTTP/1.1" 501 753
64.62.197.190 - - [31/Jan/2025:09:54:18 +0000] "GET /geoserver/web/ HTTP/1.1" 404 703
146.19.24.168 - - [31/Jan/2025:10:01:59 +0000] "GET / HTTP/1.1" 200 11230
81.252.240.201 - - [31/Jan/2025:10:42:45 +0000] "GET /guacamole/ HTTP/1.1" 304 -
81.252.240.201 - - [31/Jan/2025:10:42:45 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 304 -
81.252.240.201 - - [31/Jan/2025:10:42:45 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 304 -
81.252.240.201 - - [31/Jan/2025:10:42:45 +0000] "GET /guacamole/angular.min.js HTTP/1.1" 200 177368
81.252.240.201 - - [31/Jan/2025:10:42:45 +0000] "GET /guacamole/guacamole.4baaa9df5aed3303a40f.js HTTP/1.1" 200 369624
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 340
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 49975
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 48945
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 257
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/fonts/carlito/Carlito-Italic.woff HTTP/1.1" 200 283500
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/fonts/carlito/Carlito-Regular.woff HTTP/1.1" 200 269832
81.252.240.201 - - [31/Jan/2025:10:42:46 +0000] "GET /guacamole/fonts/carlito/Carlito-Bold.woff HTTP/1.1" 200 281212
81.252.240.201 - - [31/Jan/2025:12:17:35 +0000] "GET /guacamole/ HTTP/1.1" 304 -
81.252.240.201 - - [31/Jan/2025:12:17:35 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 200 1142
81.252.240.201 - - [31/Jan/2025:12:17:35 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 200 3189
81.252.240.201 - - [31/Jan/2025:12:17:36 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [31/Jan/2025:12:17:36 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 340
81.252.240.201 - - [31/Jan/2025:12:17:36 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 49975
81.252.240.201 - - [31/Jan/2025:12:17:36 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 48945
81.252.240.201 - - [31/Jan/2025:12:17:37 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 257
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "DELETE /guacamole/api/session HTTP/1.1" 403 192
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "GET /guacamole/api/session/data/mysql-shared/self/effectivePermissions HTTP/1.1" 200 229
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "GET /guacamole/api/session/data/mysql-shared/connectionGroups/ROOT/tree HTTP/1.1" 200 123
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "GET /guacamole/api/session/data/mysql/self/effectivePermissions HTTP/1.1" 200 404
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree HTTP/1.1" 200 1445
81.252.240.201 - - [31/Jan/2025:12:17:50 +0000] "GET /guacamole/api/session/data/mysql-shared/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:12:17:51 +0000] "GET /guacamole/api/session/data/mysql/users/guacadmin HTTP/1.1" 200 307
81.252.240.201 - - [31/Jan/2025:12:17:51 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/ HTTP/1.1" 304 -
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 200 1142
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 200 3189
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 340
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 49975
81.252.240.201 - - [31/Jan/2025:12:39:12 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 48945
81.252.240.201 - - [31/Jan/2025:12:39:15 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 257
146.19.24.168 - - [31/Jan/2025:13:11:23 +0000] "GET / HTTP/1.1" 200 11230
81.252.240.201 - - [31/Jan/2025:14:52:34 +0000] "GET /guacamole/ HTTP/1.1" 200 2811
81.252.240.201 - - [31/Jan/2025:14:52:34 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 200 1142
81.252.240.201 - - [31/Jan/2025:14:52:34 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 200 3189
81.252.240.201 - - [31/Jan/2025:14:52:35 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [31/Jan/2025:14:52:35 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 340
81.252.240.201 - - [31/Jan/2025:14:52:35 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 49975
81.252.240.201 - - [31/Jan/2025:14:52:35 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 48945
81.252.240.201 - - [31/Jan/2025:14:52:36 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 257
81.252.240.201 - - [31/Jan/2025:14:52:55 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:52:55 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:52:55 +0000] "DELETE /guacamole/api/session HTTP/1.1" 403 192
81.252.240.201 - - [31/Jan/2025:14:52:55 +0000] "GET /guacamole/api/session/data/mysql-shared/self/effectivePermissions HTTP/1.1" 200 229
81.252.240.201 - - [31/Jan/2025:14:52:55 +0000] "GET /guacamole/api/session/data/mysql-shared/connectionGroups/ROOT/tree HTTP/1.1" 200 123
81.252.240.201 - - [31/Jan/2025:14:52:56 +0000] "GET /guacamole/api/session/data/mysql/self/effectivePermissions HTTP/1.1" 200 404
81.252.240.201 - - [31/Jan/2025:14:52:56 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree HTTP/1.1" 200 1445
81.252.240.201 - - [31/Jan/2025:14:52:56 +0000] "GET /guacamole/api/session/data/mysql-shared/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:52:56 +0000] "GET /guacamole/api/session/data/mysql/users/guacadmin HTTP/1.1" 200 307
81.252.240.201 - - [31/Jan/2025:14:52:56 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:52:58 +0000] "GET /guacamole/images/settings/touchpad.svg HTTP/1.1" 200 7643
81.252.240.201 - - [31/Jan/2025:14:52:58 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:52:58 +0000] "GET /guacamole/websocket-tunnel?token=A30D7A7FEF14BDA74803FCC3E2A139A3279CB8239B7E1E4D5505622FBBCEA4F2&GUAC_DATA_SOURCE=mysql&GUAC_ID=2&GUAC_TYPE=c&GUAC_WIDTH=1440&GUAC_HEIGHT=778&GUAC_DPI=96&GUAC_TIMEZONE=Europe%2FParis&GUAC_AUDIO=audio%2FL8&GUAC_AUDIO=audio%2FL16&GUAC_IMAGE=image%2Fjpeg&GUAC_IMAGE=image%2Fpng&GUAC_IMAGE=image%2Fwebp HTTP/1.1" 101 -
81.252.240.201 - - [31/Jan/2025:14:52:58 +0000] "GET /guacamole/api/session/data/mysql/connections/2 HTTP/1.1" 200 288
81.252.240.201 - - [31/Jan/2025:14:52:59 +0000] "POST /guacamole/tunnel?connect HTTP/1.1" 500 675
81.252.240.201 - - [31/Jan/2025:14:52:59 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:01 +0000] "GET /guacamole/websocket-tunnel?token=A30D7A7FEF14BDA74803FCC3E2A139A3279CB8239B7E1E4D5505622FBBCEA4F2&GUAC_DATA_SOURCE=mysql&GUAC_ID=2&GUAC_TYPE=c&GUAC_WIDTH=1440&GUAC_HEIGHT=778&GUAC_DPI=96&GUAC_TIMEZONE=Europe%2FParis&GUAC_AUDIO=audio%2FL8&GUAC_AUDIO=audio%2FL16&GUAC_IMAGE=image%2Fjpeg&GUAC_IMAGE=image%2Fpng&GUAC_IMAGE=image%2Fwebp HTTP/1.1" 101 -
81.252.240.201 - - [31/Jan/2025:14:53:02 +0000] "POST /guacamole/tunnel?connect HTTP/1.1" 500 675
81.252.240.201 - - [31/Jan/2025:14:53:02 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:04 +0000] "GET /guacamole/websocket-tunnel?token=A30D7A7FEF14BDA74803FCC3E2A139A3279CB8239B7E1E4D5505622FBBCEA4F2&GUAC_DATA_SOURCE=mysql&GUAC_ID=2&GUAC_TYPE=c&GUAC_WIDTH=1440&GUAC_HEIGHT=778&GUAC_DPI=96&GUAC_TIMEZONE=Europe%2FParis&GUAC_AUDIO=audio%2FL8&GUAC_AUDIO=audio%2FL16&GUAC_IMAGE=image%2Fjpeg&GUAC_IMAGE=image%2Fpng&GUAC_IMAGE=image%2Fwebp HTTP/1.1" 101 -
81.252.240.201 - - [31/Jan/2025:14:53:04 +0000] "POST /guacamole/tunnel?connect HTTP/1.1" 500 675
81.252.240.201 - - [31/Jan/2025:14:53:04 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:06 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:06 +0000] "GET /guacamole/api/session/data/mysql-shared/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:53:06 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:53:42 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:42 +0000] "GET /guacamole/images/cog.svg HTTP/1.1" 200 924
81.252.240.201 - - [31/Jan/2025:14:53:42 +0000] "GET /guacamole/api/session/data/mysql-shared/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:53:43 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:53:44 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:44 +0000] "GET /guacamole/images/action-icons/guac-user-add.svg HTTP/1.1" 200 953
81.252.240.201 - - [31/Jan/2025:14:53:44 +0000] "GET /guacamole/api/session/data/mysql-shared/users HTTP/1.1" 200 54
81.252.240.201 - - [31/Jan/2025:14:53:44 +0000] "GET /guacamole/api/session/data/mysql/users HTTP/1.1" 200 696
81.252.240.201 - - [31/Jan/2025:14:53:46 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:46 +0000] "GET /guacamole/images/action-icons/guac-monitor-add.svg HTTP/1.1" 200 1211
81.252.240.201 - - [31/Jan/2025:14:53:46 +0000] "GET /guacamole/images/action-icons/guac-group-add.svg HTTP/1.1" 200 977
81.252.240.201 - - [31/Jan/2025:14:53:47 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree?permission=UPDATE&permission=DELETE HTTP/1.1" 200 1445
81.252.240.201 - - [31/Jan/2025:14:53:47 +0000] "GET /guacamole/images/folder-closed.svg HTTP/1.1" 200 689
81.252.240.201 - - [31/Jan/2025:14:53:47 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:53:48 +0000] "GET /guacamole/images/folder-open.svg HTTP/1.1" 200 691
81.252.240.201 - - [31/Jan/2025:14:53:49 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:53:50 +0000] "GET /guacamole/api/session/data/mysql/schema/connectionAttributes HTTP/1.1" 200 442
81.252.240.201 - - [31/Jan/2025:14:53:50 +0000] "GET /guacamole/api/session/data/mysql/schema/protocols HTTP/1.1" 200 14122
81.252.240.201 - - [31/Jan/2025:14:53:50 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree?permission=ADMINISTER HTTP/1.1" 200 1445
81.252.240.201 - - [31/Jan/2025:14:53:50 +0000] "GET /guacamole/images/action-icons/guac-show-pass.svg HTTP/1.1" 200 1152
81.252.240.201 - - [31/Jan/2025:14:53:50 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "POST /guacamole/api/session/data/mysql/connections HTTP/1.1" 200 846
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql-shared/connectionGroups/ROOT/tree HTTP/1.1" 200 123
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql-shared/self/effectivePermissions HTTP/1.1" 200 229
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql/users/guacadmin HTTP/1.1" 200 307
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql/self/effectivePermissions HTTP/1.1" 200 447
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree HTTP/1.1" 200 1748
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree?permission=UPDATE&permission=DELETE HTTP/1.1" 200 1748
81.252.240.201 - - [31/Jan/2025:14:55:09 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:55:11 +0000] "GET /guacamole/images/protocol-icons/guac-monitor.svg HTTP/1.1" 200 968
81.252.240.201 - - [31/Jan/2025:14:55:12 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:14:55:12 +0000] "GET /guacamole/api/session/data/mysql/connections/4 HTTP/1.1" 200 281
81.252.240.201 - - [31/Jan/2025:14:55:12 +0000] "GET /guacamole/api/session/data/mysql/connections/4/parameters HTTP/1.1" 200 92
81.252.240.201 - - [31/Jan/2025:14:55:12 +0000] "GET /guacamole/api/session/data/mysql/connections/4/history HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:14:55:12 +0000] "GET /guacamole/api/session/data/mysql/connectionGroups/ROOT/tree?permission=ADMINISTER HTTP/1.1" 200 1748
81.252.240.201 - - [31/Jan/2025:14:55:13 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
81.252.240.201 - - [31/Jan/2025:15:09:17 +0000] "POST /guacamole/api/tokens HTTP/1.1" 200 172
81.252.240.201 - - [31/Jan/2025:15:09:17 +0000] "GET /guacamole/api/session/data/mysql/activeConnections HTTP/1.1" 200 2
216.9.226.154 - - [31/Jan/2025:15:37:02 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:21 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:21 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:23 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:30 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
